Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
cytokine-mediated signaling pathway (GO:0019221)	84/633	5.137973964198876E-28	2.6219081139306866E-24	0	0	3.997030777136984	251.15632182220503	CIITA;IFITM1;IL1RN;CD40;CXCL9;IFITM2;CD80;IL27;IFI35;IFIT3;IL18BP;TNFSF13B;IFIT2;ICAM1;PIM1;JAK2;JAK3;B2M;TRIM22;HLA-DPA1;IL15RA;CISH;RSAD2;RIPK2;IL15;HGF;HLA-B;FLT3LG;HLA-C;HLA-A;HLA-F;MMP9;HLA-E;CEACAM1;AIM2;IFI27;RTN4RL1;IRF1;IL3RA;PSME1;IRF7;PSME2;BIRC5;HLA-DQB2;TNFRSF21;HLA-DQB1;CCL13;CAMK2D;CSF2RB;TNFRSF11A;NOD2;PSMB10;IL22RA2;MUC1;SOCS1;CCL8;CCL7;S1PR1;IL12RB1;CD300LF;GBP2;GBP1;HLA-DQA1;CCL15;IL12RB2;TNFSF18;IL32;HLA-DRB5;VCAM1;STAT1;STAT2;IL31RA;PSMB8;PML;PSMB9;ISG20;CXCL10;CXCL11;HLA-DPB1;HLA-DRA;FAS;XAF1;TRIM31;HLA-DRB1
cellular response to interferon-gamma (GO:0071346)	34/116	4.2739324943998367E-23	1.0904938759461184E-19	0	0	8.828417116742832	454.72459867141396	CCL13;CIITA;CAMK2D;ICAM1;CCL8;CCL7;JAK2;GBP2;IL12RB1;B2M;GBP1;TRIM22;HLA-DQA1;HLA-DPA1;CCL15;GBP6;HLA-DRB5;VCAM1;STAT1;HLA-B;ACOD1;HLA-C;HLA-A;HLA-F;PML;HLA-E;IRF1;IRF7;HLA-DPB1;HLA-DRA;TRIM31;HLA-DRB1;HLA-DQB2;HLA-DQB1
interferon-gamma-mediated signaling pathway (GO:0060333)	27/70	3.326663101530925E-22	5.6586539357041035E-19	0	0	11.61790017211704	574.5621181279075	CIITA;CAMK2D;ICAM1;JAK2;GBP2;B2M;GBP1;TRIM22;HLA-DQA1;HLA-DPA1;HLA-DRB5;VCAM1;STAT1;HLA-B;HLA-C;HLA-A;HLA-F;PML;HLA-E;IRF1;IRF7;HLA-DPB1;HLA-DRA;TRIM31;HLA-DQB2;HLA-DRB1;HLA-DQB1
cellular response to type I interferon (GO:0071357)	20/65	1.3951052119557484E-14	1.779805474152546E-11	0	0	9.267840593141798	295.67397097989345	IFITM1;IFITM2;RSAD2;STAT1;STAT2;HLA-B;HLA-C;IFI35;HLA-A;HLA-F;IFIT3;PSMB8;IFIT2;HLA-E;ISG20;IFI27;IRF1;IRF7;GBP2;XAF1
type I interferon signaling pathway (GO:0060337)	20/65	1.3951052119557484E-14	1.4238443793220367E-11	0	0	9.267840593141798	295.67397097989345	IFITM1;IFITM2;RSAD2;STAT1;STAT2;HLA-B;HLA-C;IFI35;HLA-A;HLA-F;IFIT3;PSMB8;IFIT2;HLA-E;ISG20;IFI27;IRF1;IRF7;GBP2;XAF1
response to interferon-gamma (GO:0034341)	18/68	5.164545993560705E-12	4.392446367523379E-9	0	0	7.973068745570518	207.21370947918638	GBP6;CCL13;IFITM1;CIITA;IFITM2;GCH1;CALCOCO2;STAT1;SLC11A1;ACOD1;MEFV;NUB1;CCL8;CCL7;UBD;IL12RB1;HLA-DPA1;CCL15
antigen processing and presentation of exogenous peptide antigen via MHC class II (GO:0019886)	17/97	1.8769049163232116E-8	1.3682636839996211E-5	0	0	5.278847348155508	93.91627219076724	CD74;LAG3;HLA-DRB5;KIF11;CTSS;KIF15;HLA-DMA;HLA-DMB;HLA-DPB1;HLA-DRA;HLA-DOA;HLA-DOB;HLA-DQA1;HLA-DRB1;HLA-DQB2;HLA-DPA1;HLA-DQB1
antigen processing and presentation of exogenous peptide antigen (GO:0002478)	17/97	1.8769049163232116E-8	1.1972307234996685E-5	0	0	5.278847348155508	93.91627219076724	CD74;LAG3;HLA-DRB5;KIF11;CTSS;KIF15;HLA-DMA;HLA-DMB;HLA-DPB1;HLA-DRA;HLA-DOA;HLA-DOB;HLA-DQA1;HLA-DRB1;HLA-DQB2;HLA-DPA1;HLA-DQB1
antigen processing and presentation of peptide antigen via MHC class II (GO:0002495)	17/98	2.2017462962888456E-8	1.2483901499957755E-5	0	0	5.224981558888616	92.12389622759241	CD74;LAG3;HLA-DRB5;KIF11;CTSS;KIF15;HLA-DMA;HLA-DMB;HLA-DPB1;HLA-DRA;HLA-DOA;HLA-DOB;HLA-DQA1;HLA-DRB1;HLA-DQB2;HLA-DPA1;HLA-DQB1
regulation of immune response (GO:0050776)	28/251	2.2441191006428117E-8	1.145173977058027E-5	0	0	3.3600537608601737	59.17850226939618	COLEC12;IFITM1;CD40;ICAM2;LILRA1;NOD2;CD1A;ICAM1;C3;KLRK1;SLAMF7;SLAMF6;CD300LF;B2M;VCAM1;BTN3A1;BTN2A2;HLA-B;HLA-C;BTN3A3;HLA-A;BTN3A2;HLA-F;HLA-E;CLEC2B;SELL;IRF1;IRF7
response to cytokine (GO:0034097)	20/138	3.089185923338908E-8	1.4331014333453133E-5	0	0	4.365287235900122	75.48792187438129	CD274;IFITM1;CIITA;IFITM2;PID1;GCH1;CALCOCO2;STAT1;SLC11A1;TRAFD1;TNFRSF11A;MEFV;PML;IL18BP;NUB1;LAMP3;UBD;XAF1;JAK2;JAK3
cellular response to cytokine stimulus (GO:0071345)	39/456	7.35966243201042E-8	3.129696449212431E-5	0	0	2.5760938490805327	42.31148280105266	CCL13;IL1RN;PID1;CD80;CSF2RB;BRCA1;IL22RA2;IL18BP;ICAM1;SBNO2;MUC1;SOCS1;CCL8;CCL7;ZC3H12A;PIM1;S1PR1;JAK2;IL12RB1;JAK3;HLA-DPA1;CCL15;GBP6;IL32;VCAM1;CISH;STAT1;STAT2;HGF;IL31RA;ACOD1;FLT3LG;MMP9;CXCL10;RTN4RL1;IRF1;IL3RA;BIRC5;TNFRSF21
antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-independent (GO:0002480)	6/9	1.0099079103580098E-7	3.964276974274557E-5	0	0	20.08032128514056	323.45856429970803	HLA-B;HLA-C;HLA-A;HLA-F;B2M;HLA-E
T cell receptor signaling pathway (GO:0050852)	21/163	1.1275748239500357E-7	4.1100102332978804E-5	0	0	3.8805528863921945	62.0811879036271	ITK;HLA-DRB5;BTN2A2;BTN3A1;RIPK2;BTN3A3;BTN3A2;PSMB10;PSMB8;PSMB9;PSME1;PDE4B;HLA-DPB1;PSME2;HLA-DRA;HLA-DQA1;HLA-DRB1;TNFRSF21;HLA-DQB2;HLA-DPA1;HLA-DQB1
antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent (GO:0002479)	14/75	1.487978806155688E-7	5.062103898541651E-5	0	0	5.622489959839358	88.38934835724224	NCF1;HLA-B;TAP1;HLA-C;HLA-A;HLA-F;PSMB10;PSMB8;TAPBP;HLA-E;PSMB9;PSME1;PSME2;B2M
antigen processing and presentation of peptide antigen via MHC class I (GO:0002474)	9/28	1.8206778546205147E-7	5.806824432580304E-5	0	0	9.6815834767642	150.2473977458647	ERAP2;HLA-B;HLA-C;TAP1;HLA-A;HLA-F;B2M;TAPBP;HLA-E
response to lipopolysaccharide (GO:0032496)	20/155	2.1976217331882836E-7	6.596743355564595E-5	0	0	3.8865137971239796	59.58305443333769	CD274;CD40;CXCL9;GCH1;CD80;SLC11A1;ACOD1;TNFRSF11A;PDCD1LG2;CXCL10;SBNO2;CXCL11;ZC3H12A;CARD17;PDE4B;STAP1;FAS;CARD16;JAK2;TNFRSF21
antigen processing and presentation of exogenous peptide antigen via MHC class I (GO:0042590)	14/78	2.47858500706909E-7	7.02678849504087E-5	0	0	5.406240345999382	82.23112041006763	NCF1;HLA-B;TAP1;HLA-C;HLA-A;HLA-F;PSMB10;PSMB8;TAPBP;HLA-E;PSMB9;PSME1;PSME2;B2M
DNA replication (GO:0006260)	17/120	4.638442569889861E-7	1.2457880228498928E-4	0	0	4.267068273092369	62.22971608930442	FEN1;RMI2;MCM7;MCM10;CDC6;BRCA1;CDC25A;TICRR;RECQL4;CDC45;EXO1;PCLAF;CDK1;MCM4;CLSPN;MCM6;MCM2
positive regulation of lymphocyte proliferation (GO:0050671)	13/71	5.23037075848627E-7	1.3345290990277717E-4	0	0	5.5150178177498725	79.76708607700328	CD274;CD74;VCAM1;CD80;PDCD1LG2;TNFSF13B;HLA-DMB;GPR183;CD28;HLA-DPB1;CD38;JAK3;HLA-DPA1
cellular response to tumor necrosis factor (GO:0071356)	22/194	5.410436676853513E-7	1.3147361124754036E-4	0	0	3.4157247546888585	49.28810840027143	TNFSF18;CCL13;CD40;PID1;STAT1;ACOD1;BRCA1;TNFRSF11A;PSMB8;PSMB10;PSMB9;TNFSF13B;AIM2;CCL8;CCL7;ZC3H12A;PSME1;PSME2;FAS;JAK2;TNFRSF21;CCL15
regulation of T cell proliferation (GO:0042129)	12/62	7.668717640626793E-7	1.778793914550842E-4	0	0	5.829770695685969	82.08868776407678	TNFSF18;CD274;HLA-DMB;VCAM1;CD80;CD28;HLA-DPB1;IL27;PDCD1LG2;JAK3;TNFRSF21;HLA-DPA1
positive regulation of apoptotic cell clearance (GO:2000427)	5/7	7.894958412994868E-7	1.751650990500557E-4	0	0	21.514629948364888	302.3208104728124	C4B;C3;C4A;CD300LF;C2
regulation of interleukin-1 beta secretion (GO:0050706)	9/34	1.1566267018621796E-6	2.4592775248344595E-4	0	0	7.973068745570518	108.99187211620516	GSDMD;P2RX7;AIM2;RIPK2;ZC3H12A;CARD17;TLR8;NOD2;CARD16
inflammatory response (GO:0006954)	25/252	1.1725369840743865E-6	2.3933824918926378E-4	0	0	2.988143048384012	40.80709981056027	CCL13;CD40;CXCL9;LY75;TNFRSF11A;NOD2;MEFV;CCL8;ADGRE5;CCL7;ADORA3;CCRL2;JAK3;APOL3;CCL15;AOC3;RIPK2;SLC11A1;NMI;CXCL10;CXCL11;TLR8;FAS;ADAM8;TNFRSF21
