"source","term_name","term_id","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:BP","immune system process","GO:0002376","1.0896798216899186e-31","30.962701091141874","2600","544","206","15922","IRF1,GBP2,TIFA,IL18BP,GBP5,ATP1B2,HLA-DPA1,HLA-DMA,APOL1,GBP4,IL31RA,TAP2,UBD,PSME2,TAP1,HLA-DMB,AIM2,CD40,GBP1,C4A,CD74,HLA-DOA,CIITA,CALCOCO2,S1PR1,SOCS1,CD274,HLA-DRA,SNX10,GCH1,IL12RB1,ITK,CXCL11,GBP3,SLAMF7,PSMB9,C4B,CD38,PDCD1LG2,IL15,SERPING1,IL32,LAG3,PDE4B,HLA-DPB1,TBX21,ERAP2,C1QB,CXCL10,HLA-DRB1,NOD2,CLEC2B,HLA-F,CEACAM1,ADGRE5,CCL13,BTN3A2,HLA-DRB5,PLEK,HLA-B,CFH,CYSLTR2,SELL,KLRK1,NLRC5,PSME1,CFB,BTN3A1,HLA-E,ACOD1,SECTM1,BATF2,BANK1,CXCL9,ISG20,TNFRSF11A,HLA-A,PADI2,STAT1,GBP7,CTLA4,HLA-C,SH3PXD2A,HCAR2,MSRB1,JAK2,CX3CR1,PSMB10,FGL2,NUB1,ADAM8,TRAFD1,HLA-DQB2,THBD,COLEC12,CR1L,IFI27,CD7,TESC,RIPK2,TLR8,BTN3A3,BATF3,C2,TNFSF13B,SLC11A1,STAT2,EPHB3,CCL7,GPR183,TAPBP,IL27,PSMB8,IFI35,IGSF6,CD28,CAMK2D,HLA-DOB,VCAM1,IFITM2,ICAM1,KITLG,HSD3B7,CD300H,RTP4,KLF4,CLEC6A,MUC1,CCL15,APOBEC3D,ZBP1,LILRB3,H2BC21,IFITM1,ENPP4,FLT3LG,TNFSF18,CD80,GSDMD,XAF1,PDCD1,TAL1,TRIM22,PML,TNFRSF21,B2M,CCL8,APOBEC3A,C3,SLAMF6,APOBEC3G,CLEC10A,CD300LF,MEFV,SCIMP,S100A13,IFIT3,TLR10,ZC3H12A,CCRL2,CTSS,JAK3,CYLD,FGL1,P2RX4,PLPP4,IFIT2,STAP1,CD1A,SCIN,IRF7,HELLS,ICAM2,RSAD2,CD93,LRP5,LILRA1,KIF15,MMP9,IFI44L,FAXDC2,BTN2A2,C1S,EDN1,VEGFC,IFIH1,GTPBP1,SDC2,SIT1,SLAMF1,NCF1,DTX3L,GBP6,IGF2R,PMAIP1,HRH2,MVP,LILRA2,CXCR3,IL1RN,TAPBPL,SBNO2,LY75,TRIM31,DDX60,KIF11"
"GO:BP","immune response","GO:0006955","4.419892444752787e-28","27.354588298799936","1889","544","164","15922","IRF1,GBP2,TIFA,IL18BP,GBP5,HLA-DPA1,APOL1,GBP4,UBD,PSME2,HLA-DMB,AIM2,CD40,GBP1,C4A,CD74,CIITA,CALCOCO2,SOCS1,CD274,HLA-DRA,GCH1,IL12RB1,ITK,CXCL11,GBP3,SLAMF7,PSMB9,C4B,CD38,PDCD1LG2,IL15,SERPING1,IL32,LAG3,PDE4B,HLA-DPB1,TBX21,C1QB,CXCL10,HLA-DRB1,NOD2,CLEC2B,HLA-F,CEACAM1,ADGRE5,CCL13,BTN3A2,HLA-DRB5,HLA-B,CFH,CYSLTR2,SELL,KLRK1,NLRC5,PSME1,CFB,BTN3A1,HLA-E,ACOD1,SECTM1,CXCL9,ISG20,TNFRSF11A,HLA-A,PADI2,STAT1,GBP7,CTLA4,HLA-C,MSRB1,JAK2,CX3CR1,PSMB10,FGL2,NUB1,ADAM8,TRAFD1,HLA-DQB2,COLEC12,CR1L,IFI27,CD7,RIPK2,TLR8,BTN3A3,C2,SLC11A1,STAT2,CCL7,GPR183,TAPBP,IL27,PSMB8,IFI35,IGSF6,CD28,CAMK2D,VCAM1,IFITM2,ICAM1,CLEC6A,MUC1,CCL15,ZBP1,LILRB3,H2BC21,IFITM1,ENPP4,TNFSF18,CD80,GSDMD,XAF1,PDCD1,TRIM22,PML,TNFRSF21,B2M,CCL8,APOBEC3A,C3,SLAMF6,APOBEC3G,CLEC10A,CD300LF,MEFV,SCIMP,S100A13,IFIT3,TLR10,ZC3H12A,CCRL2,CTSS,JAK3,CYLD,FGL1,PLPP4,IFIT2,STAP1,CD1A,IRF7,ICAM2,RSAD2,CD93,LILRA1,MMP9,IFI44L,BTN2A2,C1S,IFIH1,GTPBP1,SLAMF1,NCF1,GBP6,IGF2R,HRH2,MVP,LILRA2,CXCR3,IL1RN,SBNO2,LY75,TRIM31,DDX60"
"GO:BP","defense response","GO:0006952","6.748047189132529e-28","27.1708218890485","1358","544","135","15922","IRF1,GBP2,TIFA,GBP5,HLA-DPA1,APOL1,GBP4,APOL3,IL31RA,UBD,PSME2,AIM2,CD40,GBP1,CIITA,CALCOCO2,SOCS1,HLA-DRA,GCH1,IL12RB1,ITK,CXCL11,GBP3,SLAMF7,PSMB9,IL15,SERPING1,IL32,APOL2,HLA-DPB1,CXCL10,HLA-DRB1,NOD2,HLA-F,CEACAM1,ADGRE5,CCL13,HLA-DRB5,HLA-B,KLRK1,NLRC5,PSME1,CFB,HLA-E,ACOD1,BATF2,CXCL9,ISG20,TNFRSF11A,HLA-A,NMI,OPTN,STAT1,GBP7,HLA-C,MSRB1,JAK2,CX3CR1,PSMB10,NUB1,AGT,ADAM8,TRAFD1,HLA-DQB2,COLEC12,IFI27,RIPK2,TLR8,SLC11A1,STAT2,CCL7,PSMB8,IFI35,AOC3,CAMK2D,VCAM1,IFITM2,ICAM1,RTP4,KLF4,GHRL,CLEC6A,MUC1,CCL15,APOBEC3D,ZBP1,LILRB3,H2BC21,IFITM1,GSDMD,SP140,XAF1,TRIM22,PML,B2M,CCL8,APOBEC3A,C3,SLAMF6,APOBEC3G,CLEC10A,CD300LF,MEFV,SCIMP,IFIT3,TLR10,ZC3H12A,CCRL2,CTSS,GSDMA,CYLD,LGALS3BP,IFIT2,CASP4,STAP1,IRF7,ICAM2,RSAD2,LILRA1,MMP9,IFI44L,CDH5,CYSLTR1,ADORA3,IFIH1,NCF1,DTX3L,GBP6,PMAIP1,LILRA2,IL1RN,SBNO2,LY75,TRIM31,DDX60"
"GO:BP","response to interferon-gamma","GO:0034341","1.5971578022232647e-27","26.796652172622252","154","544","46","15922","IRF1,GBP2,GBP5,HLA-DPA1,GBP4,UBD,GBP1,CIITA,CALCOCO2,SOCS1,HLA-DRA,GCH1,IL12RB1,GBP3,HLA-DPB1,HLA-DRB1,HLA-F,CCL13,HLA-DRB5,HLA-B,NLRC5,HLA-E,ACOD1,HLA-A,STAT1,GBP7,HLA-C,JAK2,NUB1,HLA-DQB2,SLC11A1,CCL7,CAMK2D,VCAM1,IFITM2,ICAM1,CCL15,IFITM1,TRIM22,PML,B2M,CCL8,MEFV,IRF7,GBP6,TRIM31"
"GO:BP","response to other organism","GO:0051707","4.044054777072271e-27","26.39318297048482","1123","544","120","15922","IRF1,GBP2,TIFA,GBP5,HLA-DPA1,APOL1,GBP4,UBD,PSME2,AIM2,GBP1,CIITA,CALCOCO2,SOCS1,CD274,HLA-DRA,GCH1,IL12RB1,CXCL11,GBP3,SLAMF7,PSMB9,C4B,PDCD1LG2,SERPING1,PDE4B,HLA-DPB1,TBX21,CXCL10,HLA-DRB1,NOD2,HLA-F,CEACAM1,CCL13,HLA-DRB5,HLA-B,KLRK1,NLRC5,PSME1,CFB,HLA-E,ACOD1,BATF2,CXCL9,ISG20,TNFRSF11A,HLA-A,OPTN,STAT1,GBP7,HLA-C,MSRB1,JAK2,CX3CR1,PSMB10,NUB1,ADAM8,TRAFD1,HLA-DQB2,COLEC12,IFI27,RIPK2,TLR8,BATF3,SLC11A1,STAT2,CCL7,PSMB8,IFI35,CAMK2D,VCAM1,IFITM2,ICAM1,RTP4,CLEC6A,MUC1,CCL15,APOBEC3D,ZBP1,H2BC21,IFITM1,CD80,GSDMD,XAF1,TRIM22,PML,B2M,CCL8,APOBEC3A,C3,SLAMF6,APOBEC3G,CLEC10A,CD300LF,MEFV,SCIMP,IFIT3,TLR10,ZC3H12A,CTSS,GSDMA,CYLD,IFIT2,CARD17,STAP1,IRF7,CARD16,ICAM2,RSAD2,GPR31,IFI44L,IFIH1,NCF1,DTX3L,GBP6,PMAIP1,LILRA2,SBNO2,TRIM31,DDX60"
"GO:BP","response to external biotic stimulus","GO:0043207","4.044054777072271e-27","26.39318297048482","1123","544","120","15922","IRF1,GBP2,TIFA,GBP5,HLA-DPA1,APOL1,GBP4,UBD,PSME2,AIM2,GBP1,CIITA,CALCOCO2,SOCS1,CD274,HLA-DRA,GCH1,IL12RB1,CXCL11,GBP3,SLAMF7,PSMB9,C4B,PDCD1LG2,SERPING1,PDE4B,HLA-DPB1,TBX21,CXCL10,HLA-DRB1,NOD2,HLA-F,CEACAM1,CCL13,HLA-DRB5,HLA-B,KLRK1,NLRC5,PSME1,CFB,HLA-E,ACOD1,BATF2,CXCL9,ISG20,TNFRSF11A,HLA-A,OPTN,STAT1,GBP7,HLA-C,MSRB1,JAK2,CX3CR1,PSMB10,NUB1,ADAM8,TRAFD1,HLA-DQB2,COLEC12,IFI27,RIPK2,TLR8,BATF3,SLC11A1,STAT2,CCL7,PSMB8,IFI35,CAMK2D,VCAM1,IFITM2,ICAM1,RTP4,CLEC6A,MUC1,CCL15,APOBEC3D,ZBP1,H2BC21,IFITM1,CD80,GSDMD,XAF1,TRIM22,PML,B2M,CCL8,APOBEC3A,C3,SLAMF6,APOBEC3G,CLEC10A,CD300LF,MEFV,SCIMP,IFIT3,TLR10,ZC3H12A,CTSS,GSDMA,CYLD,IFIT2,CARD17,STAP1,IRF7,CARD16,ICAM2,RSAD2,GPR31,IFI44L,IFIH1,NCF1,DTX3L,GBP6,PMAIP1,LILRA2,SBNO2,TRIM31,DDX60"
"GO:BP","response to cytokine","GO:0034097","9.29170457728056e-27","26.031904606716882","953","544","109","15922","IRF1,GBP2,IL18BP,GBP5,HLA-DPA1,GBP4,IL15RA,IL31RA,UBD,PSME2,AIM2,CD40,GBP1,CD74,CIITA,CALCOCO2,S1PR1,SOCS1,CD274,HLA-DRA,GCH1,IL12RB1,CXCL11,GBP3,PSMB9,IL15,IL32,LAMP3,HLA-DPB1,CXCL10,HLA-DRB1,NOD2,HLA-F,CEACAM1,PID1,CCL13,HLA-DRB5,HLA-B,HGF,NLRC5,PSME1,IL3RA,HLA-E,ACOD1,CXCL9,ISG20,TNFRSF11A,HLA-A,PADI2,STAT1,GBP7,HLA-C,JAK2,PSMB10,NUB1,PIM1,HLA-DQB2,IFI27,RIPK2,TNFSF13B,SLC11A1,STAT2,CCL7,IL27,PSMB8,IFI35,CAMK2D,VCAM1,IFITM2,ICAM1,KLF4,MUC1,CCL15,ZBP1,IFITM1,FLT3LG,TNFSF18,CD80,XAF1,TRIM22,PML,CSF2RB,TNFRSF21,B2M,CCL8,CD300LF,MEFV,IFIT3,ZC3H12A,JAK3,CYLD,IFIT2,CASP4,STAP1,IRF7,CARD16,IL12RB2,RSAD2,MMP9,EDN1,IFIH1,GBP6,BIRC5,CISH,IL1RN,SBNO2,BRCA1,TRIM31,IL22RA2"
"GO:BP","response to biotic stimulus","GO:0009607","2.960702039797806e-26","25.528605297096632","1147","544","120","15922","IRF1,GBP2,TIFA,GBP5,HLA-DPA1,APOL1,GBP4,UBD,PSME2,AIM2,GBP1,CIITA,CALCOCO2,SOCS1,CD274,HLA-DRA,GCH1,IL12RB1,CXCL11,GBP3,SLAMF7,PSMB9,C4B,PDCD1LG2,SERPING1,PDE4B,HLA-DPB1,TBX21,CXCL10,HLA-DRB1,NOD2,HLA-F,CEACAM1,CCL13,HLA-DRB5,HLA-B,KLRK1,NLRC5,PSME1,CFB,HLA-E,ACOD1,BATF2,CXCL9,ISG20,TNFRSF11A,HLA-A,OPTN,STAT1,GBP7,HLA-C,MSRB1,JAK2,CX3CR1,PSMB10,NUB1,ADAM8,TRAFD1,HLA-DQB2,COLEC12,IFI27,RIPK2,TLR8,BATF3,SLC11A1,STAT2,CCL7,PSMB8,IFI35,CAMK2D,VCAM1,IFITM2,ICAM1,RTP4,CLEC6A,MUC1,CCL15,APOBEC3D,ZBP1,H2BC21,IFITM1,CD80,GSDMD,XAF1,TRIM22,PML,B2M,CCL8,APOBEC3A,C3,SLAMF6,APOBEC3G,CLEC10A,CD300LF,MEFV,SCIMP,IFIT3,TLR10,ZC3H12A,CTSS,GSDMA,CYLD,IFIT2,CARD17,STAP1,IRF7,CARD16,ICAM2,RSAD2,GPR31,IFI44L,IFIH1,NCF1,DTX3L,GBP6,PMAIP1,LILRA2,SBNO2,TRIM31,DDX60"
"GO:BP","defense response to other organism","GO:0098542","1.0450290661366079e-24","23.980871630043655","925","544","104","15922","IRF1,GBP2,TIFA,GBP5,HLA-DPA1,APOL1,GBP4,UBD,PSME2,AIM2,GBP1,CIITA,CALCOCO2,SOCS1,HLA-DRA,GCH1,IL12RB1,GBP3,SLAMF7,PSMB9,SERPING1,HLA-DPB1,HLA-DRB1,NOD2,HLA-F,CEACAM1,CCL13,HLA-DRB5,HLA-B,KLRK1,NLRC5,PSME1,CFB,HLA-E,ACOD1,BATF2,ISG20,HLA-A,OPTN,STAT1,GBP7,HLA-C,MSRB1,JAK2,CX3CR1,PSMB10,NUB1,ADAM8,TRAFD1,HLA-DQB2,COLEC12,IFI27,RIPK2,TLR8,SLC11A1,STAT2,CCL7,PSMB8,IFI35,CAMK2D,VCAM1,IFITM2,ICAM1,RTP4,CLEC6A,MUC1,CCL15,APOBEC3D,ZBP1,H2BC21,IFITM1,GSDMD,XAF1,TRIM22,PML,B2M,CCL8,APOBEC3A,C3,SLAMF6,APOBEC3G,CLEC10A,CD300LF,MEFV,SCIMP,IFIT3,TLR10,ZC3H12A,CTSS,GSDMA,CYLD,IFIT2,IRF7,ICAM2,RSAD2,IFI44L,IFIH1,NCF1,DTX3L,GBP6,PMAIP1,LILRA2,TRIM31,DDX60"
"GO:BP","innate immune response","GO:0045087","1.7132504993399415e-24","23.766179132932105","774","544","94","15922","IRF1,GBP2,TIFA,GBP5,HLA-DPA1,APOL1,GBP4,UBD,PSME2,AIM2,GBP1,CIITA,CALCOCO2,SOCS1,HLA-DRA,GCH1,IL12RB1,GBP3,SLAMF7,PSMB9,SERPING1,HLA-DPB1,HLA-DRB1,NOD2,HLA-F,CEACAM1,CCL13,HLA-DRB5,HLA-B,KLRK1,NLRC5,PSME1,CFB,HLA-E,ACOD1,ISG20,HLA-A,STAT1,GBP7,HLA-C,MSRB1,JAK2,CX3CR1,PSMB10,NUB1,ADAM8,TRAFD1,HLA-DQB2,COLEC12,IFI27,RIPK2,TLR8,SLC11A1,STAT2,CCL7,PSMB8,IFI35,CAMK2D,VCAM1,IFITM2,ICAM1,CLEC6A,MUC1,CCL15,ZBP1,H2BC21,IFITM1,XAF1,TRIM22,PML,B2M,CCL8,APOBEC3A,C3,SLAMF6,APOBEC3G,CLEC10A,CD300LF,MEFV,SCIMP,IFIT3,TLR10,CTSS,CYLD,IFIT2,IRF7,ICAM2,RSAD2,IFIH1,NCF1,GBP6,LILRA2,TRIM31,DDX60"
