"GO.ID"	"Term"	"Annotated"	"Significant"	"Expected"	"Rank in p.value_classic"	"p.value_elim"	"p.value_classic"	"genes"
"1"	"GO:0002250"	"adaptive immune response"	323	89	17.93	5	9.2e-23	NA	"B2M,BCL6,BTN3A1,BTN3A2,BTN3A3,C1QB,C1R,C1RL,C1S,C2,C3,C4A,C4B,CD1A,CD1C,CD274,CD28,CD40,CD7,CD74,CD80,CEACAM1,CLEC10A,CLEC6A,CTLA4,CTSS,ERAP2,EXO1,FGL1,FGL2,GCNT3,GPR183,HLA-A,HLA-B,HLA-C,HLA-DMA,HLA-DMB,HLA-DOA,HLA-DOB,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DQB2,HLA-DRA,HLA-DRB1,HLA-DRB5,HLA-E,HLA-F,HLA-G,ICAM1,IL12A,IL12RB1,IL18BP,IL27,IRF1,IRF7,ITK,JAK2,JAK3,KLRK1,LAG3,LAMP3,LILRA1,LILRB3,LYN,MCOLN2,P2RX7,PDCD1,PDCD1LG2,RELB,RIPK2,RNF19B,RSAD2,SERPING1,SIT1,SLAMF1,SLAMF6,SLAMF7,SLC11A1,TAP1,TAP2,TBX21,TLR8,TNFRSF11A,TNFRSF21,TNFSF13B,TNFSF18,ZC3H12A"
"2"	"GO:0060333"	"interferon-gamma-mediated signaling pathway"	82	34	4.55	18	1.2e-20	9.9e-22	"B2M,CAMK2D,CIITA,GBP1,GBP2,HLA-A,HLA-B,HLA-C,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DQB2,HLA-DRA,HLA-DRB1,HLA-DRB5,HLA-E,HLA-F,HLA-G,ICAM1,IRF1,IRF7,JAK2,MT2A,NLRC5,NMI,OAS2,PARP14,PML,SOCS1,STAT1,TRIM22,TRIM31,VCAM1"
"3"	"GO:0060337"	"type I interferon signaling pathway"	80	25	4.44	44	4.8e-13	5.4e-13	"GBP2,HLA-A,HLA-B,HLA-C,HLA-E,HLA-F,HLA-G,IFI27,IFI35,IFIT2,IFIT3,IFITM1,IFITM2,IFITM3,IRF1,IRF7,ISG20,NLRC5,OAS2,PSMB8,RSAD2,STAT1,STAT2,XAF1,ZBP1"
"4"	"GO:0019885"	"antigen processing and presentation of endogenous peptide antigen via MHC class I"	14	11	0.78	53	4.2e-12	4.5e-12	"B2M,ERAP2,HLA-A,HLA-B,HLA-C,HLA-E,HLA-F,HLA-G,TAP1,TAP2,TAPBP"
"5"	"GO:0051607"	"defense response to virus"	206	41	11.44	46	2e-10	5.6e-13	"AIM2,APOBEC3A,APOBEC3D,APOBEC3G,CD40,CXCL10,CXCL9,DDX60,DTX3L,FGL2,GBP1,GBP3,IFI27,IFI44L,IFIH1,IFIT2,IFIT3,IFIT5,IFITM1,IFITM2,IFITM3,IL12RB1,IL15,IL27,IRF1,IRF7,ISG20,NLRC5,OAS2,PMAIP1,PML,RSAD2,RTP4,SERINC5,STAT1,STAT2,TLR7,TLR8,TRIM22,TSPAN32,ZC3H12A"
"6"	"GO:0001916"	"positive regulation of T cell mediated cytotoxicity"	23	12	1.28	77	5.6e-10	6e-10	"B2M,CD1A,CD1C,HLA-A,HLA-B,HLA-C,HLA-E,HLA-F,HLA-G,IL12A,IL12RB1,P2RX7"
"7"	"GO:0002475"	"antigen processing and presentation via MHC class Ib"	15	10	0.83	78	5.8e-10	6.1e-10	"B2M,CD1A,CD1C,HLA-A,HLA-B,HLA-C,HLA-E,HLA-F,HLA-G,TAP2"
"8"	"GO:0006270"	"DNA replication initiation"	35	13	1.94	117	1.9e-08	2e-08	"CCNE2,CDC45,CDC6,CDT1,MCM10,MCM2,MCM4,MCM5,MCM6,MCM7,ORC1,POLE2,TICRR"
"9"	"GO:0034341"	"response to interferon-gamma"	174	58	9.66	6	2.2e-08	3.2e-30	"ACOD1,B2M,CALCOCO2,CAMK2D,CCL13,CCL15,CCL18,CCL5,CCL7,CCL8,CIITA,EDN1,GBP1,GBP2,GBP3,GBP4,GBP5,GBP6,GBP7,GCH1,HLA-A,HLA-B,HLA-C,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DQB2,HLA-DRA,HLA-DRB1,HLA-DRB5,HLA-E,HLA-F,HLA-G,ICAM1,IFITM1,IFITM2,IFITM3,IL12RB1,IRF1,IRF7,JAK2,MEFV,MT2A,NLRC5,NMI,NUB1,OAS2,PARP14,PML,RAB20,SLC11A1,SOCS1,STAT1,TRIM22,TRIM31,UBD,VCAM1"
"10"	"GO:0006954"	"inflammatory response"	589	87	32.7	25	2.9e-08	1.8e-17	"ACOD1,ADAM8,ADGRE5,ADORA3,AGT,AIM2,AOC3,APOL2,APOL3,APPL2,BCL6,C1QB,C1R,C1S,C2,C3,C4A,C4B,CASP4,CCL13,CCL15,CCL18,CCL5,CCL7,CCL8,CCRL2,CD28,CD40,CDH5,CFB,CFH,CIITA,CR1L,CRHBP,CXCL10,CXCL11,CXCL5,CXCL9,CXCR3,CYLD,CYSLTR1,GBP5,GGT5,GHRL,GSDMD,HGF,HLA-E,ICAM1,IDO1,IL15,IL1RN,IL22RA2,IL27,JAK2,KARS1,KLF4,LRRK2,LY75,LYN,MEFV,MMP25,MMP9,NLRP12,NMI,NOD2,OSM,P2RX7,POLB,PTGER4,RELB,RIPK2,SBNO2,SERPING1,SLAMF8,SLC11A1,STAP1,SUCNR1,TGM2,TICAM2,TLR10,TLR5,TLR7,TLR8,TNFAIP6,TNFRSF11A,VCAM1,ZC3H12A"
"11"	"GO:0050852"	"T cell receptor signaling pathway"	165	28	9.16	136	9.4e-08	1.1e-07	"BTN2A2,BTN3A1,BTN3A2,BTN3A3,CD28,CEACAM1,CTLA4,CYLD,FYB1,GBP1,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DQB2,HLA-DRA,HLA-DRB1,HLA-DRB5,ITK,PDE4B,PSMB10,PSMB8,PSMB9,PSME1,PSME2,RIPK2,TNFRSF21,ZC3H12A"
"12"	"GO:0045087"	"innate immune response"	710	136	39.42	4	1.1e-07	NA	"ACOD1,ADAM8,AIM2,APOBEC3A,APOBEC3D,APOBEC3G,APOL1,APPL2,B2M,C1QB,C1R,C1RL,C1S,C2,C3,C4A,C4B,CALCOCO2,CAMK2D,CASP4,CCL13,CCL15,CCL18,CCL5,CCL7,CCL8,CD300LF,CEACAM1,CFB,CFH,CIITA,CLEC10A,CLEC6A,COLEC12,CTSS,CX3CR1,CYLD,DDX60,DTX3L,EDN1,FCN1,GBP1,GBP2,GBP3,GBP4,GBP5,GBP6,GBP7,GCH1,GRAMD4,GSDMD,H2BC21,HLA-A,HLA-B,HLA-C,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DQB2,HLA-DRA,HLA-DRB1,HLA-DRB5,HLA-E,HLA-F,HLA-G,ICAM1,ICAM2,IFI27,IFI35,IFIH1,IFIT2,IFIT3,IFIT5,IFITM1,IFITM2,IFITM3,IL12A,IL12RB1,IL27,IRF1,IRF7,ISG20,JAK2,JAK3,KLRK1,LAG3,LILRA2,LYN,MCOLN2,MEFV,MSRB1,MT2A,MUC1,NCF1,NLRC5,NMI,NOD2,NUB1,OAS2,OPTN,PARP14,PML,PSMB10,PSMB8,PSMB9,PSME1,PSME2,PYHIN1,RAB20,RELB,RIPK2,RSAD2,SERINC5,SERPING1,SLAMF1,SLAMF6,SLAMF7,SLAMF8,SLC11A1,SOCS1,STAT1,STAT2,TICAM2,TIFA,TLR10,TLR5,TLR7,TLR8,TRAFD1,TRIM22,TRIM31,UBD,VCAM1,XAF1,ZBP1"
"13"	"GO:0006958"	"complement activation, classical pathway"	19	9	1.05	155	2.5e-07	2.7e-07	"C1QB,C1R,C1RL,C1S,C2,C3,C4A,C4B,SERPING1"
"14"	"GO:0000727"	"double-strand break repair via break-induced replication"	11	7	0.61	161	4.1e-07	4.3e-07	"CDC45,GINS2,MCM2,MCM4,MCM5,MCM6,MCM7"
"15"	"GO:0042832"	"defense response to protozoan"	20	9	1.11	165	4.4e-07	4.6e-07	"BATF2,CD40,GBP2,GBP4,GBP6,GBP7,IL12A,SLC11A1,TSPAN32"
